CaseID,Attorney,Paralegal,Legal Assistant,Status,Open Date,Pending Date,Close Date,Jurisdiction,Case Type
ID-0023,Attorney 1,Paralegal 1,Legal Assistant 1,Closed,2020-01-18,2024-04-25,2024-10-11,USCIS,Adjustment of Status
ID-0024,Attorney 1,Paralegal 2,Legal Assistant 1,Open,2020-01-20,,,USCIS,I-601
ID-0025,Attorney 2,Paralegal 1,Legal Assistant 1,Closed,2020-01-20,2021-04-06,2025-09-03,USCIS,Adjustment of Status
ID-0026,Attorney 1,Paralegal 2,Legal Assistant 1,Pending,2020-01-21,2021-07-18,,USCIS,Employment authorization
ID-0027,Attorney 1,Paralegal 1,Legal Assistant 2,Closed,2020-01-22,2025-03-05,2025-12-18,BIA,Asylum
ID-0028,Attorney 3,Paralegal 1,Legal Assistant 1,Closed,2020-01-23,2025-04-07,2025-08-20,USCIS,VAWA
ID-0029,Attorney 1,Paralegal 5,Legal Assistant 1,Open,2020-01-23,,,Immigration Court,Motion to reopen
ID-0030,Attorney 1,Paralegal 1,Legal Assistant 2,Pending,2020-01-24,2024-08-05,,USCIS,I-90
ID-0031,Attorney 4,Paralegal 2,Legal Assistant 1,Pending,2020-01-24,2021-11-26,,BIA,Cancellation of removal
ID-0032,Attorney 7,Paralegal 3,Legal Assistant 1,Closed,2020-01-24,2023-07-05,2024-04-18,BIA,Cancellation of removal
ID-0033,Attorney 2,Paralegal 1,Legal Assistant 1,Pending,2020-01-25,2021-04-03,,USCIS,Employment authorization
ID-0034,Attorney 1,Paralegal 1,Legal Assistant 1,Open,2020-01-25,,,USCIS,Employment authorization
ID-0035,Attorney 1,Paralegal 1,Legal Assistant 1,Closed,2020-01-26,2025-02-27,2025-05-10,USCIS,Employment authorization
ID-0036,Attorney 7,Paralegal 2,Legal Assistant 2,Closed,2020-01-26,2020-07-28,2021-07-23,USCIS,I-90
ID-0037,Attorney 3,Paralegal 1,Legal Assistant 1,Open,2020-01-27,,,USCIS,Naturalization
ID-0038,Attorney 4,Paralegal 2,Legal Assistant 1,Pending,2020-01-27,2024-06-26,,USCIS,VAWA
ID-0039,Attorney 3,Paralegal 1,Legal Assistant 3,Pending,2020-01-27,2023-02-08,,USCIS,Adjustment of Status
ID-0040,Attorney 1,Paralegal 1,Legal Assistant 1,Pending,2020-01-28,2024-07-25,,USCIS,Relative Petition
ID-0041,Attorney 2,Paralegal 1,Legal Assistant 2,Open,2020-01-29,,,USCIS,Adjustment of Status
ID-0042,Attorney 4,Paralegal 1,Legal Assistant 1,Open,2020-01-31,,,BIA,Asylum
ID-0043,Attorney 5,Paralegal 1,Legal Assistant 3,Closed,2020-02-02,2022-10-03,2025-12-31,USCIS,U Visa
ID-0044,Attorney 1,Paralegal 5,Legal Assistant 1,Closed,2020-02-02,2021-01-09,2021-12-16,USCIS,Employment authorization
ID-0045,Attorney 2,Paralegal 1,Legal Assistant 2,Open,2020-02-03,,,Immigration Court,Motion to reopen
ID-0046,Attorney 1,Paralegal 2,Legal Assistant 2,Closed,2020-02-04,2024-07-13,2025-03-10,USCIS,Humanitarian parole
ID-0047,Attorney 7,Paralegal 2,Legal Assistant 2,Pending,2020-02-05,2023-10-28,,USCIS,Relative Petition
ID-0048,Attorney 1,Paralegal 3,Legal Assistant 2,Closed,2020-02-06,2022-11-04,2024-05-10,Immigration Court,Motion to reopen
ID-0049,Attorney 3,Paralegal 2,Legal Assistant 1,Open,2020-02-06,,,USCIS,I-601
ID-0050,Attorney 1,Paralegal 1,Legal Assistant 1,Closed,2020-02-07,2022-04-20,2024-10-24,Immigration Court,Motion to reopen
ID-0051,Attorney 2,Paralegal 2,Legal Assistant 3,Open,2020-02-10,,,USCIS,Asylum
ID-0052,Attorney 3,Paralegal 1,Legal Assistant 3,Closed,2020-02-10,2022-02-19,2025-05-23,USCIS,I-601A
ID-0053,Attorney 1,Paralegal 3,Legal Assistant 1,Open,2020-02-11,,,BIA,Cancellation of removal
ID-0054,Attorney 4,Paralegal 1,Legal Assistant 2,Pending,2020-02-11,2022-12-12,,Immigration Court,Cancellation of removal
ID-0055,Attorney 5,Paralegal 3,Legal Assistant 2,Pending,2020-02-11,2021-08-27,,USCIS,Employment authorization
ID-0056,Attorney 5,Paralegal 2,Legal Assistant 2,Closed,2020-02-11,2021-10-11,2024-02-19,Immigration Court,Asylum
ID-0057,Attorney 1,Paralegal 2,Legal Assistant 3,Closed,2020-02-12,2021-10-02,2024-12-21,USCIS,Employment authorization
ID-0058,Attorney 3,Paralegal 1,Legal Assistant 3,Closed,2020-02-13,2020-03-12,2023-06-27,USCIS,Employment authorization
ID-0059,Attorney 2,Paralegal 3,Legal Assistant 1,Pending,2020-02-13,2025-07-30,,BIA,Cancellation of removal
ID-0060,Attorney 2,Paralegal 3,Legal Assistant 2,Closed,2020-02-14,2021-07-06,2023-06-23,USCIS,Relative Petition
ID-0061,Attorney 2,Paralegal 2,Legal Assistant 1,Closed,2020-02-14,2021-02-03,2021-11-13,Immigration Court,Asylum
ID-0062,Attorney 2,Paralegal 1,Legal Assistant 1,Closed,2020-02-14,2021-01-04,2022-01-20,USCIS,I-601
ID-0063,Attorney 1,Paralegal 1,Legal Assistant 3,Open,2020-02-14,,,Immigration Court,Asylum
ID-0064,Attorney 1,Paralegal 1,Legal Assistant 2,Pending,2020-02-15,2025-12-06,,USCIS,I-90
ID-0065,Attorney 1,Paralegal 3,Legal Assistant 1,Pending,2020-02-16,2022-12-05,,Immigration Court,Motion to reopen
ID-0066,Attorney 1,Paralegal 1,Legal Assistant 2,Pending,2020-02-17,2022-01-18,,USCIS,I-601A
ID-0067,Attorney 1,Paralegal 3,Legal Assistant 1,Open,2020-02-20,,,BIA,Cancellation of removal
ID-0068,Attorney 1,Paralegal 3,Legal Assistant 1,Pending,2020-02-20,2022-07-04,,BIA,Motion to reopen
ID-0069,Attorney 4,Paralegal 3,Legal Assistant 2,Pending,2020-02-20,2020-08-28,,USCIS,Relative Petition
ID-0070,Attorney 2,Paralegal 3,Legal Assistant 2,Closed,2020-02-20,2021-12-23,2023-09-20,USCIS,U Visa
ID-0071,Attorney 1,Paralegal 2,Legal Assistant 1,Closed,2020-02-21,2021-08-07,2021-10-21,USCIS,I-751
ID-0072,Attorney 4,Paralegal 2,Legal Assistant 1,Closed,2020-02-22,2024-11-06,2025-03-19,Immigration Court,Asylum
ID-0073,Attorney 6,Paralegal 1,Legal Assistant 2,Open,2020-02-22,,,USCIS,Asylum
ID-0074,Attorney 5,Paralegal 4,Legal Assistant 1,Pending,2020-02-23,2020-06-27,,USCIS,Adjustment of Status
ID-0075,Attorney 4,Paralegal 5,Legal Assistant 3,Open,2020-02-23,,,USCIS,Adjustment of Status
ID-0076,Attorney 7,Paralegal 2,Legal Assistant 1,Open,2020-02-24,,,USCIS,Humanitarian reinstatement
ID-0077,Attorney 2,Paralegal 5,Legal Assistant 3,Pending,2020-02-26,2022-08-23,,USCIS,Humanitarian parole
ID-0078,Attorney 7,Paralegal 5,Legal Assistant 1,Closed,2020-02-27,2024-10-09,2025-05-05,USCIS,Humanitarian reinstatement
ID-0079,Attorney 6,Paralegal 2,Legal Assistant 1,Pending,2020-02-27,2025-01-10,,Immigration Court,Cancellation of removal
ID-0080,Attorney 1,Paralegal 3,Legal Assistant 1,Open,2020-02-28,,,USCIS,Adjustment of Status
ID-0081,Attorney 5,Paralegal 2,Legal Assistant 2,Closed,2020-02-29,2023-02-26,2024-07-02,USCIS,Employment authorization
ID-0082,Attorney 4,Paralegal 1,Legal Assistant 3,Open,2020-02-29,,,USCIS,Naturalization
ID-0083,Attorney 4,Paralegal 1,Legal Assistant 1,Open,2020-03-01,,,USCIS,I-601
ID-0084,Attorney 5,Paralegal 2,Legal Assistant 1,Pending,2020-03-02,2021-06-19,,BIA,BIA appeal
ID-0085,Attorney 1,Paralegal 3,Legal Assistant 1,Pending,2020-03-04,2022-02-20,,USCIS,Naturalization
ID-0086,Attorney 1,Paralegal 1,Legal Assistant 2,Open,2020-03-04,,,USCIS,VAWA
ID-0087,Attorney 3,Paralegal 3,Legal Assistant 1,Closed,2020-03-05,2021-06-21,2025-02-28,USCIS,Naturalization
ID-0088,Attorney 3,Paralegal 2,Legal Assistant 3,Pending,2020-03-05,2024-01-13,,USCIS,I-90
ID-0089,Attorney 5,Paralegal 3,Legal Assistant 1,Open,2020-03-05,,,USCIS,Naturalization
ID-0090,Attorney 5,Paralegal 1,Legal Assistant 2,Open,2020-03-07,,,USCIS,Asylum
ID-0091,Attorney 3,Paralegal 2,Legal Assistant 3,Open,2020-03-08,,,USCIS,Naturalization
ID-0092,Attorney 7,Paralegal 1,Legal Assistant 1,Open,2020-03-08,,,Immigration Court,Motion to reopen
ID-0093,Attorney 1,Paralegal 1,Legal Assistant 1,Closed,2020-03-09,2021-11-21,2025-11-13,USCIS,Relative Petition
ID-0094,Attorney 6,Paralegal 1,Legal Assistant 3,Open,2020-03-09,,,Immigration Court,Cancellation of removal
ID-0095,Attorney 1,Paralegal 1,Legal Assistant 1,Open,2020-03-10,,,USCIS,I-601
ID-0096,Attorney 2,Paralegal 1,Legal Assistant 2,Open,2020-03-13,,,USCIS,Humanitarian reinstatement
ID-0097,Attorney 1,Paralegal 2,Legal Assistant 3,Open,2020-03-14,,,USCIS,Adjustment of Status
ID-0098,Attorney 2,Paralegal 1,Legal Assistant 1,Closed,2020-03-14,2023-11-10,2025-06-03,Immigration Court,Motion to reopen
ID-0099,Attorney 1,Paralegal 1,Legal Assistant 3,Closed,2020-03-15,2024-01-03,2024-03-01,USCIS,Adjustment of Status
ID-0100,Attorney 1,Paralegal 4,Legal Assistant 1,Closed,2020-03-15,2025-08-26,2025-10-17,USCIS,Employment authorization
ID-0101,Attorney 3,Paralegal 2,Legal Assistant 2,Closed,2020-03-16,2022-05-09,2025-01-06,USCIS,U Visa
ID-0102,Attorney 3,Paralegal 5,Legal Assistant 1,Closed,2020-03-18,2025-10-11,2025-11-29,BIA,Cancellation of removal
ID-0103,Attorney 1,Paralegal 2,Legal Assistant 1,Open,2020-03-18,,,USCIS,Relative Petition
ID-0104,Attorney 3,Paralegal 1,Legal Assistant 1,Open,2020-03-20,,,USCIS,Relative Petition
ID-0105,Attorney 1,Paralegal 4,Legal Assistant 1,Closed,2020-03-20,2022-07-15,2024-02-15,USCIS,Naturalization
ID-0106,Attorney 1,Paralegal 4,Legal Assistant 1,Closed,2020-03-21,2024-02-26,2024-12-17,BIA,Cancellation of removal
ID-0107,Attorney 1,Paralegal 2,Legal Assistant 1,Closed,2020-03-21,2024-01-17,2024-11-02,USCIS,I-751
ID-0108,Attorney 2,Paralegal 2,Legal Assistant 2,Open,2020-03-22,,,BIA,Motion to reopen
ID-0109,Attorney 4,Paralegal 2,Legal Assistant 1,Pending,2020-03-22,2024-12-12,,BIA,Motion to reopen
ID-0110,Attorney 2,Paralegal 2,Legal Assistant 1,Open,2020-03-22,,,BIA,Cancellation of removal
ID-0111,Attorney 4,Paralegal 3,Legal Assistant 1,Open,2020-03-24,,,USCIS,U Visa
ID-0112,Attorney 2,Paralegal 2,Legal Assistant 1,Pending,2020-03-25,2022-12-09,,USCIS,Adjustment of Status
ID-0113,Attorney 4,Paralegal 1,Legal Assistant 1,Open,2020-03-25,,,BIA,BIA appeal
ID-0114,Attorney 7,Paralegal 1,Legal Assistant 1,Open,2020-03-25,,,USCIS,Adjustment of Status
ID-0115,Attorney 1,Paralegal 1,Legal Assistant 2,Pending,2020-03-25,2024-10-20,,USCIS,I-601A
ID-0116,Attorney 1,Paralegal 1,Legal Assistant 2,Open,2020-03-25,,,USCIS,Naturalization
ID-0117,Attorney 1,Paralegal 1,Legal Assistant 2,Closed,2020-03-25,2022-04-13,2024-06-08,USCIS,Humanitarian parole
ID-0118,Attorney 2,Paralegal 4,Legal Assistant 1,Pending,2020-03-26,2023-01-25,,USCIS,Naturalization
ID-0119,Attorney 2,Paralegal 1,Legal Assistant 3,Pending,2020-03-26,2023-02-12,,BIA,Motion to reopen
ID-0120,Attorney 1,Paralegal 1,Legal Assistant 2,Closed,2020-03-26,2024-04-18,2024-08-08,USCIS,I-90
ID-0121,Attorney 5,Paralegal 1,Legal Assistant 2,Closed,2020-03-27,2023-10-20,2024-12-09,USCIS,Employment authorization
ID-0122,Attorney 7,Paralegal 2,Legal Assistant 1,Closed,2020-03-28,2020-09-09,2021-10-14,USCIS,Adjustment of Status
ID-0123,Attorney 1,Paralegal 2,Legal Assistant 1,Open,2020-04-01,,,USCIS,VAWA
ID-0124,Attorney 1,Paralegal 2,Legal Assistant 1,Open,2020-04-02,,,USCIS,Relative Petition
ID-0125,Attorney 1,Paralegal 5,Legal Assistant 1,Open,2020-04-03,,,USCIS,Adjustment of Status
ID-0126,Attorney 1,Paralegal 5,Legal Assistant 2,Closed,2020-04-03,2024-11-26,2025-08-26,USCIS,VAWA
ID-0127,Attorney 5,Paralegal 4,Legal Assistant 1,Pending,2020-04-07,2024-08-12,,USCIS,Employment authorization
ID-0128,Attorney 2,Paralegal 3,Legal Assistant 1,Pending,2020-04-08,2020-11-13,,USCIS,Naturalization
ID-0129,Attorney 1,Paralegal 1,Legal Assistant 1,Pending,2020-04-09,2025-10-13,,USCIS,U Visa
ID-0130,Attorney 2,Paralegal 2,Legal Assistant 1,Pending,2020-04-10,2024-01-22,,USCIS,Adjustment of Status
ID-0131,Attorney 1,Paralegal 1,Legal Assistant 1,Pending,2020-04-11,2020-10-06,,USCIS,Asylum
ID-0132,Attorney 1,Paralegal 3,Legal Assistant 1,Open,2020-04-13,,,USCIS,I-90
ID-0133,Attorney 1,Paralegal 1,Legal Assistant 1,Pending,2020-04-14,2023-02-04,,USCIS,Relative Petition
ID-0134,Attorney 3,Paralegal 1,Legal Assistant 1,Open,2020-04-15,,,USCIS,U Visa
ID-0135,Attorney 2,Paralegal 1,Legal Assistant 2,Closed,2020-04-17,2025-01-24,2025-11-15,USCIS,U Visa
ID-0136,Attorney 5,Paralegal 2,Legal Assistant 3,Closed,2020-04-17,2021-11-22,2023-12-24,USCIS,Relative Petition
ID-0137,Attorney 1,Paralegal 3,Legal Assistant 3,Pending,2020-04-17,2025-08-14,,USCIS,Naturalization
ID-0138,Attorney 4,Paralegal 1,Legal Assistant 2,Pending,2020-04-17,2022-09-06,,USCIS,I-90
ID-0139,Attorney 1,Paralegal 2,Legal Assistant 1,Open,2020-04-18,,,USCIS,I-601
ID-0140,Attorney 1,Paralegal 1,Legal Assistant 2,Pending,2020-04-19,2021-08-03,,USCIS,I-601A
ID-0141,Attorney 5,Paralegal 3,Legal Assistant 3,Open,2020-04-20,,,USCIS,Relative Petition
ID-0142,Attorney 3,Paralegal 1,Legal Assistant 1,Closed,2020-04-20,2022-05-02,2023-10-03,USCIS,Naturalization
ID-0143,Attorney 1,Paralegal 1,Legal Assistant 1,Open,2020-04-23,,,USCIS,Asylum
ID-0144,Attorney 2,Paralegal 2,Legal Assistant 2,Open,2020-04-24,,,USCIS,Adjustment of Status
ID-0145,Attorney 3,Paralegal 2,Legal Assistant 1,Pending,2020-04-25,2023-04-20,,BIA,Motion to reopen
ID-0146,Attorney 6,Paralegal 4,Legal Assistant 2,Pending,2020-04-26,2024-03-24,,USCIS,I-601
ID-0147,Attorney 3,Paralegal 2,Legal Assistant 1,Open,2020-04-26,,,USCIS,Humanitarian reinstatement
ID-0148,Attorney 1,Paralegal 5,Legal Assistant 1,Pending,2020-04-30,2025-08-04,,USCIS,Naturalization
ID-0149,Attorney 2,Paralegal 1,Legal Assistant 2,Open,2020-04-30,,,USCIS,Adjustment of Status
ID-0150,Attorney 1,Paralegal 1,Legal Assistant 2,Pending,2020-05-01,2021-06-09,,USCIS,I-601A
ID-0151,Attorney 1,Paralegal 5,Legal Assistant 2,Closed,2020-05-02,2025-10-10,2025-12-27,Immigration Court,Cancellation of removal
ID-0152,Attorney 2,Paralegal 1,Legal Assistant 3,Closed,2020-05-03,2023-04-30,2025-02-02,USCIS,Humanitarian parole
ID-0153,Attorney 4,Paralegal 3,Legal Assistant 3,Pending,2020-05-04,2021-01-24,,USCIS,Adjustment of Status
ID-0154,Attorney 1,Paralegal 1,Legal Assistant 1,Closed,2020-05-04,2025-08-02,2025-10-06,Immigration Court,Cancellation of removal
ID-0155,Attorney 4,Paralegal 2,Legal Assistant 3,Closed,2020-05-05,2022-04-27,2022-06-05,Immigration Court,Motion to reopen
ID-0156,Attorney 3,Paralegal 1,Legal Assistant 1,Closed,2020-05-05,2023-11-09,2023-11-22,USCIS,Humanitarian parole
ID-0157,Attorney 4,Paralegal 2,Legal Assistant 1,Open,2020-05-06,,,BIA,BIA appeal
ID-0158,Attorney 1,Paralegal 3,Legal Assistant 3,Closed,2020-05-09,2024-04-18,2024-09-03,USCIS,I-601
ID-0159,Attorney 1,Paralegal 1,Legal Assistant 1,Pending,2020-05-10,2020-06-07,,BIA,Cancellation of removal
ID-0160,Attorney 1,Paralegal 1,Legal Assistant 3,Open,2020-05-10,,,Immigration Court,Motion to reopen
ID-0161,Attorney 1,Paralegal 1,Legal Assistant 1,Closed,2020-05-11,2021-08-11,2022-08-25,USCIS,Humanitarian reinstatement
ID-0162,Attorney 1,Paralegal 1,Legal Assistant 1,Open,2020-05-13,,,BIA,Cancellation of removal
ID-0163,Attorney 1,Paralegal 1,Legal Assistant 1,Pending,2020-05-13,2024-03-26,,BIA,Asylum
ID-0164,Attorney 1,Paralegal 5,Legal Assistant 2,Pending,2020-05-13,2022-03-13,,USCIS,Relative Petition
ID-0165,Attorney 1,Paralegal 1,Legal Assistant 3,Pending,2020-05-14,2020-06-03,,USCIS,VAWA
ID-0166,Attorney 6,Paralegal 1,Legal Assistant 1,Pending,2020-05-15,2020-07-02,,USCIS,Naturalization
ID-0167,Attorney 4,Paralegal 2,Legal Assistant 1,Closed,2020-05-16,2025-01-09,2025-09-23,BIA,Cancellation of removal
ID-0168,Attorney 1,Paralegal 1,Legal Assistant 1,Closed,2020-05-16,2021-03-28,2023-08-16,USCIS,I-751
ID-0169,Attorney 6,Paralegal 1,Legal Assistant 1,Open,2020-05-16,,,USCIS,I-601A
ID-0170,Attorney 1,Paralegal 3,Legal Assistant 2,Closed,2020-05-18,2020-12-11,2025-12-31,USCIS,VAWA
ID-0171,Attorney 1,Paralegal 2,Legal Assistant 2,Pending,2020-05-21,2023-07-18,,USCIS,Employment authorization
ID-0172,Attorney 4,Paralegal 4,Legal Assistant 1,Closed,2020-05-21,2021-01-20,2023-09-24,USCIS,I-601A
ID-0173,Attorney 2,Paralegal 1,Legal Assistant 1,Open,2020-05-22,,,USCIS,Adjustment of Status
ID-0174,Attorney 1,Paralegal 2,Legal Assistant 2,Open,2020-05-23,,,USCIS,Naturalization
ID-0175,Attorney 1,Paralegal 4,Legal Assistant 1,Closed,2020-05-23,2024-01-21,2025-10-24,USCIS,I-601A
ID-0176,Attorney 2,Paralegal 4,Legal Assistant 1,Closed,2020-05-24,2023-06-12,2024-11-09,USCIS,I-601A
ID-0177,Attorney 2,Paralegal 5,Legal Assistant 2,Closed,2020-05-25,2024-01-13,2024-09-27,USCIS,I-90
ID-0178,Attorney 1,Paralegal 1,Legal Assistant 1,Closed,2020-05-26,2023-02-26,2025-03-10,USCIS,Relative Petition
ID-0179,Attorney 2,Paralegal 5,Legal Assistant 1,Open,2020-05-27,,,USCIS,Naturalization
ID-0180,Attorney 1,Paralegal 4,Legal Assistant 1,Closed,2020-05-28,2024-10-05,2025-04-27,USCIS,Relative Petition
ID-0181,Attorney 2,Paralegal 3,Legal Assistant 2,Open,2020-05-29,,,USCIS,U Visa
ID-0182,Attorney 1,Paralegal 2,Legal Assistant 1,Open,2020-05-30,,,USCIS,Adjustment of Status
ID-0183,Attorney 5,Paralegal 5,Legal Assistant 2,Closed,2020-05-31,2024-01-07,2024-07-24,USCIS,Employment authorization
ID-0184,Attorney 4,Paralegal 1,Legal Assistant 1,Closed,2020-06-03,2022-09-27,2024-04-13,USCIS,U Visa
ID-0185,Attorney 1,Paralegal 3,Legal Assistant 1,Open,2020-06-03,,,Immigration Court,Asylum
ID-0186,Attorney 4,Paralegal 3,Legal Assistant 2,Pending,2020-06-03,2020-07-05,,USCIS,Relative Petition
ID-0187,Attorney 1,Paralegal 3,Legal Assistant 1,Open,2020-06-04,,,USCIS,I-601
ID-0188,Attorney 1,Paralegal 3,Legal Assistant 1,Closed,2020-06-05,2021-12-14,2024-08-23,USCIS,Humanitarian parole
ID-0189,Attorney 2,Paralegal 1,Legal Assistant 1,Open,2020-06-08,,,USCIS,Adjustment of Status
ID-0190,Attorney 2,Paralegal 1,Legal Assistant 2,Open,2020-06-08,,,USCIS,U Visa
ID-0191,Attorney 4,Paralegal 1,Legal Assistant 1,Closed,2020-06-08,2021-03-03,2022-12-26,USCIS,Relative Petition
ID-0192,Attorney 7,Paralegal 3,Legal Assistant 2,Open,2020-06-08,,,USCIS,Relative Petition
ID-0193,Attorney 1,Paralegal 3,Legal Assistant 1,Closed,2020-06-09,2020-07-11,2024-05-19,BIA,Asylum
ID-0194,Attorney 1,Paralegal 4,Legal Assistant 1,Pending,2020-06-10,2021-12-17,,USCIS,Humanitarian reinstatement
ID-0195,Attorney 2,Paralegal 3,Legal Assistant 1,Pending,2020-06-11,2021-08-05,,USCIS,Humanitarian parole
ID-0196,Attorney 1,Paralegal 2,Legal Assistant 1,Pending,2020-06-11,2020-11-14,,USCIS,Relative Petition
ID-0197,Attorney 1,Paralegal 1,Legal Assistant 3,Pending,2020-06-11,2022-03-07,,USCIS,Relative Petition
ID-0198,Attorney 7,Paralegal 2,Legal Assistant 1,Pending,2020-06-11,2023-04-05,,BIA,Asylum
ID-0199,Attorney 4,Paralegal 4,Legal Assistant 3,Open,2020-06-12,,,USCIS,U Visa
ID-0200,Attorney 7,Paralegal 2,Legal Assistant 1,Closed,2020-06-14,2021-06-11,2025-11-29,USCIS,Adjustment of Status
ID-0201,Attorney 1,Paralegal 4,Legal Assistant 1,Closed,2020-06-14,2021-12-20,2023-08-18,USCIS,I-601A
ID-0202,Attorney 1,Paralegal 5,Legal Assistant 1,Closed,2020-06-14,2020-07-25,2022-03-04,BIA,Asylum
ID-0203,Attorney 2,Paralegal 1,Legal Assistant 2,Closed,2020-06-14,2020-09-25,2022-11-08,USCIS,I-601A
ID-0204,Attorney 6,Paralegal 3,Legal Assistant 1,Pending,2020-06-15,2021-04-30,,USCIS,Naturalization
ID-0205,Attorney 1,Paralegal 2,Legal Assistant 2,Open,2020-06-15,,,USCIS,I-601
ID-0206,Attorney 1,Paralegal 2,Legal Assistant 3,Closed,2020-06-19,2022-12-22,2025-07-06,USCIS,I-601
ID-0207,Attorney 1,Paralegal 1,Legal Assistant 2,Open,2020-06-19,,,BIA,BIA appeal
ID-0208,Attorney 4,Paralegal 1,Legal Assistant 1,Closed,2020-06-21,2024-02-26,2024-06-26,USCIS,Adjustment of Status
ID-0209,Attorney 4,Paralegal 1,Legal Assistant 2,Pending,2020-06-21,2024-10-30,,USCIS,VAWA
ID-0210,Attorney 3,Paralegal 2,Legal Assistant 1,Pending,2020-06-21,2023-12-15,,USCIS,U Visa
ID-0211,Attorney 1,Paralegal 1,Legal Assistant 1,Closed,2020-06-22,2023-11-19,2025-12-11,USCIS,Asylum
ID-0212,Attorney 3,Paralegal 1,Legal Assistant 1,Closed,2020-06-23,2025-08-24,2025-10-17,USCIS,Adjustment of Status
ID-0213,Attorney 2,Paralegal 2,Legal Assistant 2,Closed,2020-06-23,2021-11-21,2025-05-08,USCIS,Naturalization
ID-0214,Attorney 1,Paralegal 1,Legal Assistant 1,Open,2020-06-24,,,USCIS,I-601
ID-0215,Attorney 1,Paralegal 4,Legal Assistant 2,Pending,2020-06-24,2024-11-20,,USCIS,U Visa
ID-0216,Attorney 2,Paralegal 1,Legal Assistant 2,Open,2020-06-28,,,Immigration Court,Asylum
ID-0217,Attorney 1,Paralegal 1,Legal Assistant 1,Closed,2020-06-28,2025-08-26,2025-12-04,USCIS,U Visa
ID-0218,Attorney 7,Paralegal 5,Legal Assistant 1,Open,2020-06-29,,,USCIS,Employment authorization
ID-0219,Attorney 2,Paralegal 4,Legal Assistant 2,Open,2020-06-29,,,USCIS,Employment authorization
ID-0220,Attorney 1,Paralegal 2,Legal Assistant 1,Open,2020-06-30,,,USCIS,Asylum
ID-0221,Attorney 3,Paralegal 3,Legal Assistant 1,Pending,2020-07-01,2023-08-16,,USCIS,Naturalization
ID-0222,Attorney 3,Paralegal 1,Legal Assistant 1,Closed,2020-07-02,2025-02-14,2025-10-23,USCIS,Adjustment of Status
ID-0223,Attorney 1,Paralegal 3,Legal Assistant 3,Open,2020-07-03,,,Immigration Court,Motion to reopen
ID-0224,Attorney 2,Paralegal 1,Legal Assistant 1,Closed,2020-07-03,2021-04-06,2025-07-27,USCIS,Adjustment of Status
